staker,lp,stt,ste,faction
terra17ktk0...xjtw,0.503563,0,0.6294537499999999,degens
terra174csq...x97m,51.757177,0,64.69647125,degens
terra1757lq...fnxx,2033.911793,0,2542.38974125,degens
terra175esz...tjgj,0.089049,0,0.11131125,degens
terra1755ap...k3fk,1.122531,0,1.40316375,degens
terra1753jw...dpqt,1224.423229,0,1530.52903625,degens
terra175snd...8v9e,1.785587,0,2.23198375,degens
terra175d5e...k4zd,85.840027,0,107.30003375000001,degens
terra1758ar...x7t9,354.849867,0,443.56233375,degens
terra175qdp...c9ka,4.002645,0,5.0033062500000005,degens
terra17nvfa...9ylm,1.925367,0,2.40670875,degens
terra17ng79...vkum,2778.566872,0,3473.2085899999997,degens
terra17j7q3...uhvn,11582.381034,0,14477.9762925,degens
terra173lwe...s39w,42.20402,0,52.755025,degens
terra1733kg...9svg,0.292884,0,0.36610499999999996,degens
terra173dfj...7mcs,199.280131,0,249.10016375,degens
terra17390m...yaxx,132.626245,0,165.78280625000002,degens
terra17smaa...cuau,1.38255,0,1.7281875,degens
terra17skag...cwmg,153.895565,0,192.36945625,degens
terra17snxw...kgqy,1212.187203,0,1515.2340037499998,degens
terra17snrg...97lp,5.532574,0,6.9157175,degens
terra17s0m7...hrmk,170.147361,0,212.68420125,degens
terra1707cz...q5gj,0.446075,0,0.55759375,degens
terra17029f...dum3,37.527062,0,46.9088275,degens
terra1708q4...yt75,5.506321,0,6.88290125,degens
terra170xhq...7mjg,3.01225,0,3.7653125,degens
terra17w7xx...0vul,42.963774,0,53.7047175,degens
terra17wvtg...uyfw,1,0,1.25,degens
terra17wx28...yv4k,611.83832,0,764.7978999999999,degens
terra17d7qr...lne3,3.38,0,4.225,degens
terra17dac8...hk7u,1339.491447,0,1674.3643087500002,degens
terra17dusl...dgcp,2.167843,0,2.70980375,degens
terra17ds8z...gk0s,252.428129,0,315.53516125,degens
terra17vuwy...5y2q,20.105349,0,25.13168625,degens
terra17v6pp...dehh,0.198981,0,0.24872624999999998,degens
terra17vhzv...ytzq,1.834085,0,2.29260625,degens
terra17v32x...hse2,0.212972,0,0.266215,degens
terra17v8ec...xx9t,8.204099,0,10.25512375,degens
terra17vx0a...fmxe,504.386352,0,630.48294,degens
terra17vx0q...txx0,2.005733,0,2.50716625,degens
terra17v9wr...45kk,0.392365,0,0.49045625000000004,degens
terra17v9va...293e,49.952233,0,62.44029125,degens
terra17vzem...5vv6,0.400091,0,0.5001137499999999,degens
terra17t6jq...5h24,2.189316,0,2.7366449999999998,degens
terra17tcyt...3n86,83.113829,0,103.89228625,degens
terra17tncr...h8r0,1708.502274,0,2135.6278425,degens
terra17tvq9...70pk,1.104475,0,1.38059375,degens
terra17tfzg...8z4u,8611.25268,0,10764.065849999999,degens
terra17tx52...tfpr,87.057916,0,108.822395,degens
terra17f5gv...gra8,138.601445,0,173.25180625000002,degens
terra17gj30...guwh,3.489586,0,4.3619825,degens
terra17g3mn...aj8l,0.201538,0,0.2519225,degens
terra17g99k...2r3e,122.169691,0,152.71211375000001,degens
terra178alz...94qw,5.356045,0,6.69505625,degens
terra1785jf...pefe,83.532709,0,104.41588625,degens
terra17xzdw...txr5,156.525141,0,195.65642624999998,degens
terra17xzxx...mlxq,9.507685,0,11.884606250000001,degens
terra179cek...unaq,0.200789,0,0.25098624999999997,degens
terra179fjv...7vl0,241.135875,0,301.41984375,degens
terra17ymqa...3mgu,0.445484,0,0.556855,degens
terra17yec9...warp,107.17761,0,133.9720125,degens
terra17y4yn...ftec,58.264748,0,72.830935,degens
terra17yn7e...xasv,0.429263,0,0.53657875,degens
terra17ys6c...3jkj,2.848394,0,3.5604924999999996,degens
terra17yraf...8qmq,6.562628,0,8.203285000000001,degens
terra17yq47...r03z,0.411708,0,0.5146350000000001,degens
terra17rgwx...gx7t,44.229089,0,55.28636125,degens
terra17rrlc...wusa,2129.411953,0,2661.7649412499995,degens
terra17zjre...mere,778.473987,0,973.0924837499999,degens
terra17zd7e...7h8a,0.222832,0,0.27854,degens
terra17ztyd...rplm,46.541001,0,58.17625125,degens
terra17zg2z...h9ps,6.258543,0,7.82317875,degens
terra17zyy8...59ah,30.488755,0,38.110943750000004,degens
terra17p4u7...4na6,2.008658,0,2.5108225,degens
terra17p339...s0zw,317.971993,0,397.46499125,degens
terra17pdvc...frrd,1,0,1.25,degens
terra17quzv...3cr2,55.672213,0,69.59026625,degens
terra17qcq0...5297,1062.980229,0,1328.72528625,degens
terra17qryn...9dee,31.54604,0,39.43255,degens
terra1alrzm...ny2k,66.158788,0,82.698485,degens
terra1alzcg...hvpl,414.991665,0,518.73958125,degens
terra1a77np...kt06,2.092253,0,2.61531625,degens
terra1a7gee...m5lj,388.874487,0,486.09310875,degens
terra1a7xk8...wdf5,11.023474,0,13.7793425,degens
terra1aawff...mq8m,0.414968,0,0.51871,degens
terra1aaprn...7nfd,0.413293,0,0.51661625,degens
terra1au6vc...dytq,7206.011561,0,9007.514451250001,degens
terra1aucg8...sgyp,0.806076,0,1.007595,degens
terra1au9ax...vkun,99.139394,0,123.92424249999999,degens
terra1am52a...4tqv,2.049278,0,2.5615975000000004,degens
terra1am0rc...66nh,3.850632,0,4.81329,degens
terra1a6trq...jekk,87.22,0,109.025,degens
terra1aersc...djyy,35.826314,0,44.7828925,degens
terra1ac7lt...amnf,623.21,0,779.0125,degens
terra1acumc...nhxm,27.650969,0,34.56371125,degens
terra1acj3j...0tcp,132.158376,0,165.19797,degens
terra1ah62t...s8dq,205.962432,0,257.45304,degens
terra1ah99j...u20s,0.280845,0,0.35105625,degens
terra1ak4mx...h2fq,0.718484,0,0.898105,degens
terra1akdt0...a0sf,9.991259,0,12.48907375,degens
terra1ak8nd...ykpw,579.819922,0,724.7749025,degens
terra1akxda...pqln,0.211353,0,0.26419125,degens
terra1akrzc...vawa,41.002101,0,51.252626250000006,degens
terra1akpz8...wcux,3769.540559,0,4711.92569875,degens
terra1a4m45...xjat,84.711363,0,105.88920375000001,degens
terra1a4chz...czdk,70.377673,0,87.97209125,degens
terra1a4224...w7s9,3.357857,0,4.19732125,degens
terra1a5n6y...0u4t,2.032713,0,2.5408912500000005,degens
terra1a53lc...fa0q,0.447912,0,0.55989,degens
terra1a5snk...9t2r,225.073803,0,281.34225375,degens
terra1a5zxf...drml,0.341049,0,0.42631125,degens
terra1ane2d...4jnp,0.122364,0,0.152955,degens
terra1an5we...q2ql,2676.501288,0,3345.62661,degens
terra1ansgg...cpzf,2.125363,0,2.65670375,degens
terra1an84y...cpa9,13.317179,0,16.64647375,degens
terra1ajn36...5xlh,1,0,1.25,degens
terra1a3au7...dka2,613.791437,0,767.2392962499999,degens
terra1a357x...9pf0,22.439713,0,28.04964125,degens
terra1a3n92...x7q9,1.911061,0,2.3888262499999997,degens
terra1a3y29...67ql,843.331296,0,1054.16412,degens
terra1as0f5...vwdd,2.079642,0,2.5995525,degens
terra1as9jw...zd6c,208.381538,0,260.4769225,degens
terra1a04ln...kscx,1.556108,0,1.945135,degens
terra1a042n...enq8,151.42427,0,189.2803375,degens
terra1a0qts...qnpl,1026.110812,0,1282.6385149999999,degens
terra1aw7la...rt5y,2438.480501,0,3048.10062625,degens
terra1awkjd...7y3a,2.092515,0,2.6156437500000003,degens
terra1aw578...j7lr,2.086928,0,2.60866,degens
terra1aws5k...xsts,3.775256,0,4.71907,degens
terra1awxme...vcsf,2.207802,0,2.7597525000000003,degens
terra1awpfl...a9qx,2.289005,0,2.86125625,degens
terra1ad470...pum8,0.842656,0,1.05332,degens
terra1adnql...8ar8,2.111639,0,2.63954875,degens
terra1adrh4...x87q,1,0,1.25,degens
terra1adzg2...gtje,44.822854,0,56.0285675,degens
terra1avmsn...qu98,0.887493,0,1.1093662499999999,degens
terra1avwv5...24mw,159.775,0,199.71875,degens
terra1avp5x...crdh,0.429743,0,0.53717875,degens
terra1atufh...dafn,0.768763,0,0.9609537499999999,degens
terra1at8dd...vxcq,47.72882,0,59.661024999999995,degens
terra1a2afz...26ft,1935.979939,0,2419.97492375,degens
terra1a2u3q...3gxh,2.171445,0,2.71430625,degens
terra1a29j9...a5zl,0.002094,0,0.0026175,degens
terra1af4kr...qcur,0.982934,0,1.2286675,degens
terra1aff8w...nrkx,16.028972,0,20.036215,degens
terra1afxy2...5j7c,7.695791,0,9.61973875,degens
terra1ag42k...hx2u,82.44773,0,103.0596625,degens
terra1a8myn...kgjx,1002.806399,0,1253.50799875,degens
terra1a85qc...m96k,4.055401,0,5.06925125,degens
terra1a80d3...xkw4,30.096455,0,37.62056875,degens
terra1a8q4q...gnw3,0.456615,0,0.57076875,degens
terra1a8qzw...7urf,0.171514,0,0.21439249999999999,degens
terra1axhju...wjsf,454.79815,0,568.4976875,degens
terra1ax5jx...h4w7,8.65647,0,10.8205875,degens
terra1axfkx...lee3,11.268919,0,14.08614875,degens
terra1axxyw...k7em,233.761751,0,292.20218875,degens
terra1axpf7...v3kv,0.424252,0,0.530315,degens
terra1a9nk6...spqk,42.05278,0,52.565974999999995,degens
terra1a9fdz...kjd5,3.168225,0,3.96028125,degens
terra1a9fpt...nw4l,2412.086511,0,3015.10813875,degens
terra1ayutf...mcdn,0.688249,0,0.86031125,degens
terra1ayzal...vttl,113.396888,0,141.74611000000002,degens
terra1arhq2...k07k,3.945082,0,4.9313525,degens
terra1arjd9...kfnz,1.917626,0,2.3970325,degens
terra1ar2ln...ew7p,42.789648,0,53.48706,degens
terra1ar8se...v7en,0.602869,0,0.75358625,degens
terra1azjsf...qhx8,109.874799,0,137.34349874999998,degens
terra1az3rl...x3pl,2.007007,0,2.50875875,degens
terra1az0cp...wuge,319.677071,0,399.59633875000003,degens
terra1az0tv...a6zh,0.201315,0,0.25164375,degens
terra1azxjj...9k0f,2.056925,0,2.57115625,degens
terra1azxpm...2g2z,0.000195,0,0.00024375,degens
terra1azy0t...h86d,113.660206,0,142.0752575,degens
terra1ap6yg...le70,21.499539,0,26.87442375,degens
terra1aph5s...yhvt,2.174982,0,2.7187275,degens
terra1apk96...6n6x,0.216252,0,0.27031499999999997,degens
terra1apnvj...clkk,0.351013,0,0.43876625,degens
terra1apq4d...r35a,29.867673,0,37.33459125,degens
terra1aq3zg...y30p,1218,0,1522.5,degens
terra1aqdp8...j5f5,7702.604131,0,9628.25516375,degens
terra1aqpk2...vzkk,0.527616,0,0.65952,degens
terra1ul7q3...xw7a,0.202876,0,0.253595,degens
terra1ulctv...p3sp,27.52448,0,34.4056,degens
terra1ul2nu...rrsq,0.04363,0,0.0545375,degens
terra1ulfx3...dlc0,0.215631,0,0.26953875,degens
terra1ul9sc...j4rk,100,0,125,degens
terra1u7u7v...htlz,0.209431,0,0.26178875,degens
terra1u74xk...ymyv,0.434906,0,0.5436325,degens
terra1u75d9...qjyp,8.211092,0,10.263865000000001,degens
terra1u7vg8...9nz5,215.815442,0,269.7693025,degens
terra1uaxwc...lvu3,3025.705398,0,3782.1317475,degens
terra1uazwl...cyhp,50.808804,0,63.511005000000004,degens
terra1uapre...n3yu,263.718718,0,329.64839750000004,degens
terra1uum6s...nt0k,0.45448,0,0.5681,degens
terra1uumrp...wpjg,2.231116,0,2.788895,degens
terra1uu007...qk8h,1.170412,0,1.463015,degens
terra1uud9u...fy5p,39.677012,0,49.596264999999995,degens
terra1umed4...6rlq,22.32018,0,27.900225,degens
terra1umrtw...tk98,62.923478,0,78.6543475,degens
terra1umpnu...8v77,0.200685,0,0.25085625,degens
terra1u6m3h...43du,79.257967,0,99.07245875,degens
terra1u65n8...jmu4,0.061533,0,0.07691624999999999,degens
